state,loss_type,period,count
TN,LOSS IN TRANSIT,JAN-SEP 2022,18
TN,PACKAGING DISCREPANCY,JAN-SEP 2022,2
TN,ROBBERY,JAN-SEP 2022,1
TX,BREAK-IN/BURGLARY,JAN-SEP 2022,0
TX,CUSTOMER THEFT (OR NON EMPLOYEE),JAN-SEP 2022,0
TX,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,1
TX,HIJACKING OF TRANSPORT VEHICLE,JAN-SEP 2022,0
TX,LOSS IN TRANSIT,JAN-SEP 2022,11
TX,PACKAGING DISCREPANCY,JAN-SEP 2022,4
TX,ROBBERY,JAN-SEP 2022,2
UT,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,1
UT,LOSS IN TRANSIT,JAN-SEP 2022,0
VA,BREAK-IN/BURGLARY,JAN-SEP 2022,0
VA,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,1
VA,LOSS IN TRANSIT,JAN-SEP 2022,1
VT,LOSS IN TRANSIT,JAN-SEP 2022,0
WA,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,1
WA,LOSS IN TRANSIT,JAN-SEP 2022,2
WI,EMPLOYEE THEFT (OR SUSPECTED),JAN-SEP 2022,0
WI,LOSS IN TRANSIT,JAN-SEP 2022,0
WI,PACKAGING DISCREPANCY,JAN-SEP 2022,0
WV,PACKAGING DISCREPANCY,JAN-SEP 2022,0
WY,BREAK-IN/BURGLARY,JAN-SEP 2022,1
WY,LOSS IN TRANSIT,JAN-SEP 2022,0
